Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course(Y/N),Placement(Y/N)?
Male,CBSE,94.1,CBSE,66.4,Electronics and Communication Engineering,7.05,No,Yes,Yes,Yes,2,Yes,Not Placed
Female,ICSE,72.1,CBSE,70.2,Computer Science in AIML,7.16,No,No,No,Yes,2,Yes,Placed
Female,ICSE,82.6,WBCHSE,67.3,Computer Science and Engineering,7.95,Yes,Yes,No,Yes,3,Yes,Placed
Male,WBBSE,71.9,WBCHSE,67.4,Electrical and Electronics Engineering,7.88,No,No,No,Yes,1,Yes,Placed
Female,CBSE,80.5,ISE,74.2,Electronics and Communication Engineering,8.86,Yes,Yes,Yes,Yes,2,Yes,Not Placed
Female,State Board,87.2,WBCHSE,80.4,Electronics and Communication Engineering,7.65,Yes,Yes,Yes,No,4,Yes,Not Placed
Female,CBSE,70.3,Other state Board,79,Computer Science and Engineering,9.34,Yes,Yes,No,Yes,2,Yes,Not Placed
Male,State Board,75.2,WBCHSE,82.5,Mechanical Engineering,8.52,No,No,No,No,5,No,Not Placed
Male,State Board,78.9,ISE,91.2,Electrical Engineering,8.65,No,Yes,No,Yes,1,Yes,Placed
Female,WBBSE,86.3,Other state Board,62.6,Computer Science in AIML,7.1,No,Yes,No,Yes,1,Yes,Placed
Female,State Board,96.9,CBSE,89.8,Civil Engineering,7.09,Yes,Yes,Yes,Yes,3,Yes,Not Placed
Male,ICSE,75.9,CBSE,85.4,Computer Science in AIML,7.64,No,Yes,Yes,Yes,4,Yes,Not Placed
Female,CBSE,99.6,ISE,81.7,Computer Science and Engineering,8.57,Yes,No,No,No,3,No,Not Placed
Female,CBSE,95,CBSE,92.5,Information Technology,7.69,Yes,Yes,No,No,5,Yes,Not Placed
Female,CBSE,72,CBSE,65.1,Civil Engineering,7.57,No,Yes,Yes,Yes,1,No,Not Placed
Female,ICSE,88.6,WBCHSE,73.2,Computer Science and Engineering,9.23,Yes,Yes,No,Yes,3,Yes,Placed
Male,CBSE,80.7,Other state Board,76.1,Computer Science in AIML,9.51,Yes,No,Yes,Yes,1,Yes,Not Placed
Male,CBSE,95,CBSE,90,IMsc Maths and Computing,8.15,Yes,No,No,Yes,4,Yes,Not Placed
Female,State Board,92,Other state Board,67.4,Mechanical Engineering,9.35,No,Yes,No,Yes,2,Yes,Placed
Male,ICSE,84.4,Other state Board,87.6,Computer Science and Design,8.58,Yes,No,No,Yes,3,Yes,Placed
Male,WBBSE,86.6,WBCHSE,84.4,Computer Science and Design,7.13,No,No,No,Yes,3,Yes,Placed
Male,CBSE,96.4,CBSE,97,Electronics and Communication and Engineeing,8.91,No,Yes,Yes,No,3,Yes,Not Placed
Female,ICSE,76.1,Other state Board,60.4,Electronics and Communication Engineering,8.94,Yes,No,No,Yes,1,Yes,Placed
Male,CBSE,75.6,Other state Board,93.8,Electrical Engineering,8.99,Yes,No,No,Yes,4,Yes,Placed
Male,WBBSE,99.9,CBSE,86.9,Mechanical Engineering,7.6,No,Yes,No,Yes,4,Yes,Placed
Male,CBSE,75,CBSE,48,Information Technology,5.75,No,No,Yes,No,3,Yes,Not Placed
Female,State Board,79.6,WBCHSE,61.7,Computer Science in Data Science,7.92,No,Yes,Yes,Yes,4,Yes,Not Placed
Male,State Board,91.1,ISE,74.2,Chemical Engineering,8.37,No,No,No,Yes,2,Yes,Placed
Female,CBSE,86.4,ISE,85.1,Electronics and Communication Engineering,9.56,No,No,No,Yes,3,Yes,Not Placed
Female,State Board,70.4,ISE,87.2,Civil Engineering,9.35,No,No,No,Yes,1,Yes,Placed
Male,ICSE,86.7,Other state Board,93,Computer Science and Engineering,7.45,Yes,Yes,No,Yes,1,Yes,Placed
Female,CBSE,72.2,CBSE,74.8,Computer Science in AIML,8.02,Yes,Yes,No,Yes,2,Yes,Placed
Male,CBSE,75,CBSE,68,Computer Science and Engineering,8.2,Yes,No,Yes,Yes,4,Yes,Placed
Female,CBSE,95,CBSE,86.4,Information Technology,9.46,Yes,Yes,No,Yes,3,Yes,Not Placed
Female,State Board,88.1,ISE,60.2,Electrical and Electronics Engineering,8.61,No,No,No,Yes,2,Yes,Placed
Female,ICSE,94.3,ISE,72.3,Electrical Engineering,8.53,No,Yes,No,Yes,2,Yes,Placed
Male,WBBSE,85,WBCHSE,87,Information Technology,9.3,No,Yes,No,Yes,3,Yes,Placed
Male,ICSE,82.8,ISE,87.2,Electrical and Electronics Engineering,8.49,No,Yes,No,No,4,Yes,Not Placed
Male,WBBSE,64,WBCHSE,68,Computer Science and Design,7.5,No,Yes,No,Yes,4,Yes,Placed
Female,ICSE,94,ISE,87.2,Electronics and Communication Engineering,9.31,Yes,No,No,Yes,5,Yes,Placed
Female,WBBSE,71.8,WBCHSE,93.3,Mechanical Engineering,9.01,Yes,No,No,No,2,No,Not Placed
Male,State Board,76,CBSE,60.3,Chemical Engineering,7.84,No,No,Yes,Yes,1,Yes,Not Placed
Male,State Board,72.2,CBSE,77,Information Technology,8.27,Yes,Yes,Yes,Yes,3,Yes,Not Placed
Female,ICSE,96.5,ISE,86.8,Electrical Engineering,9.29,No,Yes,No,Yes,3,Yes,Placed
Female,WBBSE,86.9,Other state Board,87.4,Chemical Engineering,9.02,No,Yes,No,Yes,4,No,Not Placed
Female,ICSE,82.4,Other state Board,88.6,Computer Science and Engineering,9.26,Yes,No,No,No,1,No,Not Placed
Male,ICSE,74.9,Other state Board,81.5,Information Technology,7.32,Yes,No,No,Yes,5,Yes,Placed
Female,WBBSE,75,Other state Board,81.1,Computer Science and Engineering,8.84,Yes,No,Yes,No,2,Yes,Not Placed
Female,CBSE,87.4,CBSE,81.6,Information Technology,7.03,No,Yes,No,Yes,2,Yes,Not Placed
Female,CBSE,73.9,CBSE,63.9,Computer Science in Data Science,7.92,Yes,No,No,Yes,4,Yes,Placed
Male,WBBSE,82.1,ISE,72.1,Electronics and Communication Engineering,8.11,Yes,No,No,Yes,4,Yes,Placed
Male,ICSE,70.1,Other state Board,74.7,Electronics and Communication Engineering,8.46,Yes,Yes,No,No,1,No,Not Placed
Female,State Board,82.7,ISE,92.2,Computer Science and Design,9.38,Yes,No,No,Yes,2,Yes,Placed
Female,ICSE,81.9,WBCHSE,84.5,Computer Science and Engineering,8.34,Yes,Yes,Yes,No,1,No,Not Placed
Female,CBSE,88.7,ISE,65.9,Electrical Engineering,7.15,No,No,No,Yes,5,No,Not Placed
Female,CBSE,93.5,Other state Board,69.8,Computer Science and Design,8.8,Yes,No,Yes,Yes,3,Yes,Not Placed
Female,CBSE,98.9,CBSE,94.1,Electronics and Communication Engineering,9.3,Yes,No,No,No,5,Yes,Not Placed
Male,ICSE,77.4,ISE,67.1,Computer Science and Design,8.95,No,Yes,No,No,5,Yes,Not Placed
Male,State Board,94.6,CBSE,88.3,Electronics and Communication Engineering,7.44,Yes,No,No,Yes,1,Yes,Placed
Male,CBSE,82.3,ISE,65.9,Electrical and Electronics Engineering,7.78,No,Yes,No,Yes,4,Yes,Placed
Female,CBSE,85.6,WBCHSE,68.2,Computer Science and Engineering,9.2,Yes,Yes,No,No,4,Yes,Not Placed
Female,WBBSE,88.2,ISE,71.5,Electronics and Communication Engineering,9.1,Yes,Yes,No,Yes,5,Yes,Placed
Female,WBBSE,96.8,Other state Board,94.9,Information Technology,7.82,Yes,No,Yes,No,2,Yes,Not Placed
Female,CBSE,86.7,Other state Board,63.9,Electronics and Communication Engineering,7.29,Yes,Yes,No,Yes,2,No,Not Placed
Female,ICSE,72.6,WBCHSE,91.6,Computer Science and Design,8.84,Yes,Yes,No,No,2,Yes,Not Placed
Female,ICSE,94.7,Other state Board,87.3,Computer Science and Engineering,7.67,Yes,No,No,No,2,No,Not Placed
Male,ICSE,99.6,Other state Board,94,Electrical and Electronics Engineering,7.18,No,Yes,Yes,Yes,5,No,Not Placed
Female,WBBSE,81.4,ISE,68.1,Electronics and Communication Engineering,7.57,Yes,Yes,No,Yes,2,No,Not Placed
Male,ICSE,77.7,CBSE,79.2,Electrical Engineering,7.15,No,No,Yes,No,5,Yes,Not Placed
Male,WBBSE,80.2,Other state Board,91.8,Computer Science and Engineering,8.97,Yes,No,No,Yes,5,Yes,Placed
Female,WBBSE,89.6,WBCHSE,78,Civil Engineering,8.57,Yes,Yes,No,Yes,1,Yes,Placed
Female,CBSE,71.4,ISE,92.3,Computer Science and Engineering,7.42,No,No,Yes,Yes,4,Yes,Not Placed
Male,ICSE,87,CBSE,75,Computer Science and Engineering,9.47,Yes,Yes,No,Yes,3,No,Not Placed
Female,State Board,84.7,WBCHSE,84.4,Information Technology,7.25,No,Yes,No,No,1,No,Not Placed
Male,WBBSE,72,CBSE,64.4,Information Technology,8.33,Yes,Yes,No,Yes,5,Yes,Placed
Male,ICSE,74.8,ISE,83.9,Computer Science in AIML,9.17,Yes,Yes,No,Yes,2,Yes,Placed
Male,WBBSE,70,WBCHSE,78,Computer Science and Design,8.9,Yes,No,No,Yes,2,Yes,Placed
Female,WBBSE,75.9,WBCHSE,85.2,Computer Science and Design,8.43,No,Yes,No,Yes,1,Yes,Placed
Female,State Board,72.4,CBSE,67.6,Civil Engineering,8.12,No,No,No,Yes,4,Yes,Placed
Female,WBBSE,96.2,CBSE,60.1,Civil Engineering,7.49,No,Yes,No,Yes,1,Yes,Placed
Male,State Board,93,Other state Board,92,Computer Science and Engineering,90,Yes,No,No,No,3,Yes,Not Placed
Male,State Board,70,ISE,94.8,Computer Science in AIML,9.48,Yes,No,No,Yes,5,Yes,Placed
Female,ICSE,75.6,WBCHSE,68.9,Electrical and Electronics Engineering,8.95,No,No,Yes,Yes,3,No,Not Placed
Male,WBBSE,60,WBCHSE,69,Computer Science and Design,9,No,No,No,No,3,No,Placed
Male,CBSE,85.3,Other state Board,72.8,Mechanical Engineering,8.85,Yes,Yes,No,Yes,2,Yes,Placed
Female,ICSE,89.2,CBSE,82.7,Computer Science and Design,9.37,Yes,No,No,Yes,1,Yes,Placed
Female,WBBSE,94.9,WBCHSE,84.7,Electrical Engineering,8.59,No,No,No,Yes,3,No,Not Placed
Male,CBSE,87,CBSE,87.8,Electrical Engineering,8.15,Yes,No,Yes,Yes,4,Yes,Not Placed
Female,CBSE,98.7,CBSE,60.9,Electronics and Communication Engineering,7.19,Yes,No,No,Yes,4,No,Not Placed
Male,CBSE,84.6,ISE,79.1,Electrical Engineering,9.44,No,No,No,Yes,1,Yes,Placed
Male,State Board,80.4,CBSE,65.6,Mechanical Engineering,7.97,No,No,No,Yes,4,Yes,Placed
Male,State Board,80.3,WBCHSE,74.9,Mechanical Engineering,9.12,Yes,No,Yes,Yes,4,Yes,Not Placed
Female,ICSE,95.4,Other state Board,65.8,Civil Engineering,7.42,No,Yes,Yes,Yes,4,Yes,Not Placed
Female,State Board,87.5,Other state Board,78.9,Civil Engineering,8.46,No,No,No,No,4,Yes,Not Placed
Male,ICSE,91.8,WBCHSE,89.5,Information Technology,8.47,Yes,No,No,Yes,2,Yes,Placed
Female,ICSE,95.4,WBCHSE,93,Civil Engineering,8.58,No,Yes,No,Yes,2,Yes,Placed
Male,State Board,96.4,ISE,83,Mechanical Engineering,7.17,Yes,No,No,Yes,1,Yes,Placed
Female,State Board,79.6,CBSE,87.4,Electrical and Electronics Engineering,8.54,No,Yes,No,Yes,1,Yes,Not Placed
Female,State Board,100,WBCHSE,93.1,Electrical and Electronics Engineering,8.34,No,No,No,Yes,4,Yes,Placed
Female,WBBSE,70.5,CBSE,82.9,Electrical and Electronics Engineering,9.32,Yes,Yes,No,Yes,2,Yes,Placed
Male,WBBSE,70,WBBSE,80,Computer Science and Engineering,9.1,No,Yes,Yes,Yes,3,Yes,Placed
Male,State Board,86.8,CBSE,64.6,Electronics and Communication Engineering,9,Yes,Yes,Yes,Yes,1,No,Not Placed
Male,ICSE,91.4,ISE,92.2,Computer Science and Engineering,7.96,Yes,No,No,Yes,4,Yes,Placed
Male,CBSE,70.4,ISE,89.3,Electrical Engineering,9.48,No,No,No,Yes,2,Yes,Placed
Male,State Board,78.6,CBSE,83.9,Electrical Engineering,7.99,No,Yes,No,Yes,2,Yes,Placed
Male,WBBSE,90.5,WBCHSE,61,Computer Science in Data Science,9.39,Yes,Yes,No,Yes,4,Yes,Placed
Female,CBSE,91.8,Other state Board,78.7,Computer Science in Data Science,7.62,Yes,Yes,No,Yes,1,Yes,Placed
Male,WBBSE,91.9,WBCHSE,79.9,Computer Science in AIML,7.13,No,Yes,No,Yes,5,Yes,Placed
Female,WBBSE,74.1,Other state Board,67.8,Computer Science and Engineering,7.16,No,No,No,Yes,4,Yes,Placed
Female,ICSE,96.7,WBCHSE,75.7,Computer Science and Design,8.88,Yes,Yes,No,Yes,3,Yes,Placed
Female,CBSE,81.2,Other state Board,74.7,Computer Science in Data Science,7.09,No,Yes,Yes,No,3,Yes,Not Placed
Female,State Board,80.2,WBCHSE,94.3,Electrical and Electronics Engineering,8.8,No,No,Yes,Yes,5,Yes,Not Placed
Female,CBSE,99.5,CBSE,90.1,Electrical Engineering,7.37,No,No,No,Yes,1,Yes,Placed
Male,CBSE,83.1,CBSE,61.9,Electronics and Communication Engineering,7.37,Yes,No,No,Yes,3,Yes,Placed
Female,CBSE,75.5,WBCHSE,73.8,Computer Science in Data Science,8.55,No,Yes,No,Yes,5,Yes,Placed
Male,ICSE,76.3,CBSE,81.8,Information Technology,9.07,Yes,Yes,No,Yes,5,Yes,Placed
Female,ICSE,73,WBCHSE,72.8,Electrical Engineering,8.35,No,No,No,No,4,Yes,Not Placed
Male,State Board,84.2,ISE,78.8,Electronics and Communication Engineering,8.88,Yes,No,No,Yes,3,Yes,Placed
Male,CBSE,90.6,CBSE,69.9,Civil Engineering,8.33,No,No,No,Yes,2,Yes,Placed
Female,State Board,94.6,Diploma board - MSBTE,91.5,Electronics Engineering,8.3,Yes,Yes,Yes,No,2,Yes,Not Placed
Female,WBBSE,81.2,WBCHSE,70,Electrical and Electronics Engineering,7.36,No,Yes,No,Yes,2,Yes,Not Placed
Male,CBSE,83,CBSE,88,Computer Science and Engineering,7.9,No,No,No,No,2,No,Placed
Male,CBSE,92.3,CBSE,91.3,Computer Science in AIML,8.78,Yes,Yes,Yes,No,2,Yes,Not Placed
Female,WBBSE,96.6,WBCHSE,85,Electrical Engineering,8.54,Yes,No,No,Yes,4,Yes,Placed
Male,ICSE,71.3,WBCHSE,91.8,Mechanical Engineering,7.52,No,Yes,No,Yes,1,Yes,Placed
Male,CBSE,79,CBSE,83,Computer Science and Design,9.21,No,No,No,No,4,Yes,Not Placed
Female,CBSE,74,WBCHSE,92,Information Technology,7.34,Yes,Yes,No,Yes,4,Yes,Placed
Male,ICSE,95.2,ISE,60.9,Mechanical Engineering,8.89,Yes,Yes,Yes,No,2,No,Not Placed
Male,WBBSE,32,WBCHSE,59.83,Information Technology,9.2,No,No,No,Yes,2,Yes,Not Placed
Female,State Board,96.1,CBSE,87.9,Mechanical Engineering,8.34,No,Yes,No,Yes,2,Yes,Placed
Male,ICSE,97.5,ISE,62.3,Computer Science in Data Science,8.94,Yes,Yes,No,Yes,4,Yes,Not Placed
Female,State Board,89.9,Other state Board,73.1,Electronics and Communication Engineering,7.24,No,No,No,Yes,3,No,Not Placed
Male,CBSE,90.2,ISE,76,Information Technology,9.11,Yes,Yes,No,Yes,2,Yes,Placed
Female,CBSE,85.4,Other state Board,91.7,Electronics and Communication Engineering,7.87,Yes,Yes,No,Yes,5,Yes,Not Placed
Female,ICSE,92.1,ISE,83,Information Technology,7.49,No,No,No,Yes,2,Yes,Placed
Female,CBSE,74.7,CBSE,93.1,Computer Science and Engineering,8.11,Yes,Yes,No,Yes,3,No,Not Placed
Male,WBBSE,47,WBCHSE,88,Electrical Engineering,7.9,Yes,Yes,Yes,Yes,3,Yes,Placed
Female,CBSE,93.4,Other state Board,88,Civil Engineering,8.49,No,No,No,Yes,2,Yes,Placed
Female,State Board,97.5,WBCHSE,60.3,Computer Science and Design,9.29,Yes,No,No,Yes,1,Yes,Placed
Male,WBBSE,91,WBCHSE,87,Computer Science and Design,8.2,Yes,Yes,Yes,Yes,3,No,Placed
Female,ICSE,74.3,Other state Board,93.1,Mechanical Engineering,8.36,No,No,No,Yes,5,Yes,Placed
Male,ICSE,99.8,ISE,80.8,Computer Science in Data Science,8.26,Yes,No,No,Yes,3,Yes,Placed
Female,CBSE,70.7,Other state Board,62.2,Mechanical Engineering,8.2,No,No,No,Yes,5,Yes,Placed
Male,State Board,95.4,CBSE,79,Chemical Engineering,7.96,Yes,Yes,No,Yes,5,Yes,Placed
Female,WBBSE,88.4,Other state Board,83.4,Computer Science and Design,7.4,No,Yes,No,Yes,1,Yes,Not Placed
Male,WBBSE,89.5,ISE,79.9,Computer Science and Engineering,8.41,Yes,No,Yes,No,5,No,Not Placed
Male,State Board,72.2,Other state Board,80.5,Chemical Engineering,9.28,No,No,No,No,2,Yes,Not Placed
Male,WBBSE,87.5,WBCHSE,72.9,Computer Science and Engineering,8.18,Yes,No,No,No,3,No,Not Placed
Male,State Board,75.2,ISE,85.5,Computer Science in Data Science,8.18,Yes,Yes,No,No,1,No,Not Placed
Male,ICSE,87.4,WBCHSE,91.4,Electronics and Communication Engineering,8.41,Yes,No,Yes,Yes,1,Yes,Not Placed
Male,ICSE,98.3,Other state Board,94.7,Information Technology,8.52,Yes,No,No,Yes,1,Yes,Placed
Male,ICSE,85.2,Other state Board,80.7,Information Technology,7.69,No,No,No,Yes,1,Yes,Placed
Male,State Board,86.6,Other state Board,81.3,Electrical and Electronics Engineering,7.15,No,Yes,Yes,No,5,No,Not Placed
Male,ICSE,94.1,ISE,62.8,Mechanical Engineering,7.55,No,Yes,No,Yes,5,Yes,Placed
Male,WBBSE,79.4,WBCHSE,79.4,Information Technology,9.34,No,Yes,No,Yes,2,No,Not Placed
Male,WBBSE,95.1,Other state Board,81.7,Computer Science in Data Science,8.08,Yes,No,No,Yes,1,Yes,Not Placed
Female,ICSE,72,Other state Board,90.5,Electronics and Communication Engineering,9.21,No,Yes,No,Yes,1,Yes,Placed
Female,CBSE,84.5,WBCHSE,87.4,Chemical Engineering,7.67,No,No,No,Yes,5,Yes,Placed
Male,WBBSE,75.7,Other state Board,80.6,Electronics and Communication Engineering,7.35,Yes,No,No,Yes,4,Yes,Placed
Male,CBSE,91.7,WBCHSE,91.9,Chemical Engineering,7.14,Yes,No,No,No,2,Yes,Not Placed
Female,ICSE,82.8,Other state Board,89.8,Electrical Engineering,8.45,Yes,Yes,No,Yes,3,Yes,Not Placed
Female,State Board,80.2,CBSE,74.7,Computer Science and Engineering,8.82,Yes,Yes,Yes,No,2,Yes,Not Placed
Female,ICSE,92.7,CBSE,82.1,Electrical and Electronics Engineering,8.88,Yes,Yes,Yes,No,1,Yes,Not Placed
Female,CBSE,82.9,Other state Board,86.1,Mechanical Engineering,9.23,No,Yes,No,No,4,Yes,Not Placed
Male,State Board,85.7,Other state Board,63.6,Electrical Engineering,9.02,Yes,No,No,Yes,4,Yes,Placed
Female,CBSE,87.5,Other state Board,87.3,Electronics and Communication Engineering,7.23,Yes,Yes,No,No,3,No,Not Placed
Male,ICSE,95.6,CBSE,94,Electrical and Electronics Engineering,8.21,No,Yes,No,No,5,No,Not Placed
Male,ICSE,77.6,ISE,84.6,Mechanical Engineering,9.12,No,Yes,Yes,No,2,No,Not Placed
Female,CBSE,79.7,Other state Board,91.5,Computer Science and Design,9.21,Yes,Yes,No,No,2,Yes,Not Placed
Female,WBBSE,82,Other state Board,75.9,Electrical and Electronics Engineering,7.6,No,Yes,No,Yes,1,Yes,Placed
Female,WBBSE,70.7,ISE,77.4,Civil Engineering,8.22,No,No,No,No,2,Yes,Not Placed
Female,CBSE,77.3,CBSE,91.4,Computer Science in AIML,8.92,Yes,No,No,Yes,3,Yes,Placed
Female,ICSE,81,CBSE,79.8,Electrical Engineering,8.1,No,Yes,No,Yes,2,No,Not Placed
Male,CBSE,82.9,ISE,71.8,Mechanical Engineering,7.46,No,No,Yes,Yes,4,No,Not Placed
Female,CBSE,76.2,Other state Board,74.8,Electronics and Communication Engineering,9.04,Yes,No,No,No,4,No,Not Placed
Male,ICSE,83.6,Other state Board,70.9,Computer Science and Engineering,8.95,No,No,No,Yes,2,Yes,Placed
Female,ICSE,78.7,Other state Board,62.5,Mechanical Engineering,9.16,Yes,Yes,Yes,No,3,No,Not Placed
Male,State Board,78.6,ISE,86.9,Electrical Engineering,8.23,No,Yes,Yes,Yes,1,Yes,Not Placed
Female,CBSE,88.1,ISE,82.6,Chemical Engineering,7.1,Yes,Yes,No,Yes,4,Yes,Placed
Female,State Board,85.5,Other state Board,82.4,Computer Science and Engineering,7.49,No,No,No,Yes,1,Yes,Placed
Male,ICSE,91.8,CISCE,88.5,Computer Science and Engineering,9.48,No,No,Yes,Yes,3,Yes,Placed
Female,WBBSE,73.2,WBCHSE,65,Computer Science and Engineering,7.79,No,No,No,Yes,4,Yes,Placed
Female,CBSE,99.9,ISE,86.4,Electrical Engineering,9.16,Yes,No,No,Yes,3,Yes,Placed
Female,CBSE,77.5,WBCHSE,69,Civil Engineering,8.3,No,No,No,Yes,4,No,Not Placed
Female,WBBSE,83.7,WBCHSE,91,Electronics and Communication Engineering,7.11,No,Yes,No,No,4,Yes,Not Placed
Female,ICSE,91.7,CBSE,68.9,Computer Science and Design,8.34,No,Yes,No,No,2,No,Not Placed
Male,WBBSE,72.4,ISE,80.6,Electronics and Communication Engineering,9.16,Yes,No,No,Yes,2,Yes,Placed
Female,WBBSE,70.8,Other state Board,65.1,Electrical and Electronics Engineering,8.64,No,Yes,No,Yes,3,No,Not Placed
Male,ICSE,82.9,ISE,87.3,Electrical and Electronics Engineering,8.49,No,Yes,No,Yes,2,Yes,Placed
Female,CBSE,84.8,Other state Board,92.8,Electrical Engineering,7.01,No,No,No,Yes,2,Yes,Placed
Male,ICSE,99.8,CBSE,63.7,Civil Engineering,9.35,No,Yes,No,No,3,No,Not Placed
Female,State Board,70.6,Other state Board,70.7,Electronics and Communication Engineering,8.43,Yes,Yes,No,Yes,1,Yes,Placed
Male,State Board,91.2,Other state Board,73.3,Electrical and Electronics Engineering,8.49,Yes,No,No,Yes,5,Yes,Placed
Male,State Board,80.5,CBSE,68.6,Electronics and Communication Engineering,7.28,No,No,Yes,Yes,2,No,Not Placed
Female,CBSE,70.9,ISE,94.8,Electronics and Communication Engineering,8.8,Yes,No,No,Yes,1,Yes,Not Placed
Female,WBBSE,97,WBCHSE,88.6,Chemical Engineering,8.24,No,Yes,No,Yes,4,Yes,Placed
Female,CBSE,88.3,Other state Board,78.4,Electronics and Communication Engineering,7.61,Yes,Yes,No,No,5,No,Not Placed
Male,WBBSE,88.7,WBCHSE,83.6,Computer Science and Engineering,7.27,No,Yes,No,Yes,5,Yes,Placed
Female,CBSE,85.3,CBSE,76.4,Electronics and Communication Engineering,9.25,No,No,No,Yes,4,No,Not Placed
Male,State Board,59,Other state Board,55,Electrical Engineering,7.93,No,Yes,Yes,Yes,3,No,Placed
Female,State Board,87.1,CBSE,87,Computer Science and Design,8.68,Yes,No,No,Yes,5,Yes,Placed
